vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_description,vmrs_system,confidence_score,match_reasoning,match_rank
AF55836,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF55837,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF55839,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF56054,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF56060,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF56065,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF56099,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF56102,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF56107,FLEETGUARD,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
AF56500,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF839,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF979,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AF979M,FLEETGUARD,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AFM30P-060AS,AIR TECHNIQUES,"FILTER, MIST, OUTLET",,,,NO_MATCH,No pattern match,
AH1197,FLEETGUARD,"FILTER, AIR, ENGINE, W/HOUSING",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AH55543,FLEETGUARD,"FILTER, AIR, ENGINE, W/HOUSING",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
AM117584,JOHN DEERE LTD.,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
AM141445,JOHN DEERE LTD.,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
AR15-1004,CUMMINS CLEAN FUEL,"FILTER, FUEL, HP, CNG",044-002-014,"Filter - Fuel, Final",44.0,MEDIUM,Generic fuel filter,1.0
AUC16614,JOHN DEERE LTD.,"FILTER, KIT, MAINTENANCE",047-000-000,Kit Filter - Multi System,47.0,LOW,Generic filter kit,1.0
BE8Z-6731-AB,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
BE8Z-6731-AC,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
BK2Z-19N619-A,FORD MOTOR CO,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
C1154,NASHVILLE MB LOCAL,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
C2804-1,AIR TECHNIQUES,"FILTER, ELEMENT, OIL VAPOUR",045-011-005,Element - Full Flow Oil Filter,45.0,MEDIUM,Oil filter element,1.0
C2813,AIR TECHNIQUES,"FILTER, MIST, OUTLET",,,,NO_MATCH,No pattern match,
CF188,ACDELCO,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
CF19501C,CLIMATECH INDS,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
CJ5Z-9601-A,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
CK4Z-7A098-A,FORD MOTOR CO,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
CK4Z-9601-A,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
CS41008,FLEETGUARD,"FILTER, OIL, CENTRIFUGE KIT",047-000-000,Kit Filter - Multi System,47.0,LOW,Generic filter kit,1.0
CS41043,FLEETGUARD,"FILTER, OIL, CENTRIFUGE KIT",047-000-000,Kit Filter - Multi System,47.0,LOW,Generic filter kit,1.0
CS41044,FLEETGUARD,"FILTER, OIL, CENTRIFUGE KIT",047-000-000,Kit Filter - Multi System,47.0,LOW,Generic filter kit,1.0
CTT00001818,OTTAWA TRUCKS NA,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Hydraulic oil filter,1.0
CV50626,FLEETGUARD,"FILTER, VENTILATION, CRANKCASE",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
CV50628,FLEETGUARD,"FILTER, VENTILATION, CRANKCASE",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
CV50633,FLEETGUARD,"FILTER, VENTILATION, CRANKCASE",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
CV50634,FLEETGUARD,"FILTER, VENTILATION, CRANKCASE",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
CV50900,FLEETGUARD,"FILTER, VENTILATION, CRANKCASE",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
CV52001,FLEETGUARD,"FILTER, VENTILATION, CRANKCASE",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
CV52055,FLEETGUARD,"FILTER, VENTILATION, CRANKCASE",045-014-007,Filter - Crankcase Ventilation,45.0,HIGH,Crankcase ventilation filter,1.0
CV6Z-19N619-A,FORD MOTOR CO,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
CV6Z-9601-A,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
DLS113-6K,PARKER-HANNIFIN,"FILTER, FUEL, LNG/CNG",044-002-014,"Filter - Fuel, Final",44.0,MEDIUM,Generic fuel filter,1.0
E4FZ-6731-AB,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
F1810PM0,FILL-RITE DIV.,"FILTER, FUEL, TRANSFER",044-002-014,"Filter - Fuel, Final",44.0,MEDIUM,Generic fuel filter,1.0
F1AZ-6731-BD,FORD MOTOR CO,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
F37-1018,PETERBILT MOTORS CO,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
F5OZ-9601-BA,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
FA-1632,MOTORCRAFT CORP.,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
FA1744,MOTORCRAFT CORP.,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
FA1884,MOTORCRAFT CORP.,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
FA1910,MOTORCRAFT CORP.,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
FA1938,MOTORCRAFT CORP.,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
FA-1950,MOTORCRAFT CORP.,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
FC4Z-9601-B,FORD MOTOR CO,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Engine air filter,1.0
FD4616,MOTORCRAFT CORP.,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FD4637,MOTORCRAFT CORP.,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FD4647,MOTORCRAFT CORP.,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF105,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF149,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF204,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF2200,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF2203,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF236,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF252,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF254,FLEETGUARD,"FILTER, FUEL, SECONDARY",044-002-003,"Filter Assembly - Fuel, Secondary",44.0,HIGH,Secondary fuel filter,1.0
FF260,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF276,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF4136,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF42000,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF42102,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF42128NN,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF42131,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF42220,FLEETGUARD,"FILTER, FUEL, SECONDARY",044-002-003,"Filter Assembly - Fuel, Secondary",44.0,HIGH,Secondary fuel filter,1.0
FF5045,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5052,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5089,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5108,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5160,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5206,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5269,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5301,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5319,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5324,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5369W,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5380,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5405,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5418,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5421,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5455,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5461,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5480,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5507,FLEETGUARD,"FILTER, FUEL, SECONDARY",044-002-003,"Filter Assembly - Fuel, Secondary",44.0,HIGH,Secondary fuel filter,1.0
FF5612,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5616,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5632,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5636,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5639W,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5675,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5686,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5690,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5775,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5776,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5813,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5816,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5825NN,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5871,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5877,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5971NN,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5973,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5974,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF5995,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF63041NN,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF63054NN,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FF73100,FLEETGUARD,"FILTER, FUEL, PRIMARY",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK11011,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK11020,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK13850NN,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK22004,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK22005,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK267,POWER TORQUE,"FILTER, OIL, TRANSMISSION",027-036-008,Filter Element - Transmission Oil,27.0,HIGH,Transmission oil filter,1.0
FK48002,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK48004,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK48555,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FK48556,FLEETGUARD,"FILTER, FUEL, PRIMARY, KIT",044-002-001,"Filter Assembly - Fuel, Primary",44.0,HIGH,Primary fuel filter,1.0
FL2016,MOTORCRAFT CORP.,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
FL2124S,MOTORCRAFT CORP.,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
FL3Z-19N619-A,FORD MOTOR CO,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
FL500S,MOTORCRAFT CORP.,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
FL-820-S,MOTORCRAFT CORP.,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,Engine oil filter,1.0
FLTAC9801152,FLEETRITE,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
FP-70,FORD MOTOR CO,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
FP-74,MOTORCRAFT CORP.,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
FP92,MOTORCRAFT CORP.,"FILTER, AIR, CABIN",002-044-017,Housing - Cabin Air Filter,2.0,MEDIUM,Cabin air filter,1.0
FS1000,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1003,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1029W,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1065,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1067,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1098,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1212,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1251,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1269,FLEETGUARD,"HOUSING, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1280,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1281,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1285,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1287,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS1291,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19513,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19532,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19536,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19551,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19560,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19580,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19580A,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19591,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19596,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19598,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19624,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19684E,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19687,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19727,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19729,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19732,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19761,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19763,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19764,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19764G,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19765,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19797,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19798,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19844,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
FS19869,FLEETGUARD,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Fuel/water separator,1.0
